City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
277,Leningradskiy,RU,2020-07-28 04:59:39,69.38,178.42,38.1,76,16,7.61
278,Klaksvik,FO,2020-07-28 04:59:39,62.23,-6.59,46.4,93,98,21.92
279,Qui Nhon,VN,2020-07-28 04:58:11,13.77,109.23,89.8,59,40,11.25
280,Bathsheba,BB,2020-07-28 04:59:40,13.22,-59.52,82.4,74,40,14.99
281,Bani,DO,2020-07-28 04:59:40,18.28,-70.33,80.01,81,18,4.0
282,Trabzon,TR,2020-07-28 04:58:36,40.92,39.83,78.8,69,75,4.7
283,Balakovo,RU,2020-07-28 04:59:41,52.03,47.8,70.16,66,42,5.82
284,Gao,ML,2020-07-28 04:59:41,16.64,1.64,80.08,63,87,10.18
285,Airai,TL,2020-07-28 04:59:41,-8.93,125.41,71.04,57,92,4.14
286,Haines Junction,CA,2020-07-28 04:59:42,60.75,-137.51,51.75,68,100,2.77
287,Port-Gentil,GA,2020-07-28 04:59:42,-0.72,8.78,75.65,79,12,13.62
288,Maple Creek,CA,2020-07-28 04:59:42,49.92,-109.48,69.28,43,0,9.33
289,Maceio,BR,2020-07-28 04:59:42,-9.67,-35.74,69.8,94,20,3.36
290,Yenagoa,NG,2020-07-28 04:59:43,4.92,6.26,73.63,94,100,5.08
291,Port Hedland,AU,2020-07-28 04:59:43,-20.32,118.57,84.2,12,62,14.99
292,Palana,RU,2020-07-28 04:59:43,59.12,159.97,53.67,88,18,13.31
293,Ust-Kulom,RU,2020-07-28 04:59:44,61.69,53.69,68.43,63,66,2.75
294,Yar-Sale,RU,2020-07-28 04:59:44,66.83,70.83,59.49,50,58,14.83
295,Amapa,BR,2020-07-28 04:59:44,1.0,-52.0,70.59,91,41,1.1
296,Mafeteng,LS,2020-07-28 04:59:45,-29.82,27.24,34.95,82,0,5.1
297,Grindavik,IS,2020-07-28 04:59:45,63.84,-22.43,48.2,76,75,9.17
298,Ladario,BR,2020-07-28 04:59:45,-19.0,-57.6,71.26,52,0,2.01
299,Baykit,RU,2020-07-28 04:59:45,61.67,96.37,73.06,47,82,1.43
